nurse01@cohealth.test;ROLE_NURSE;password;Alice;Martin;CoHealth;N100001;7601000000001;+41790000001;;;Rue des Soins 1;1201;Geneve;Suisse;1;1;1
nurse02@cohealth.test;ROLE_NURSE;password;Emma;Bernard;CoHealth;N100002;7601000000002;+41790000002;;;Rue des Soins 2;1003;Lausanne;Suisse;1;1;1
nurse03@cohealth.test;ROLE_NURSE;password;Julie;Robert;CoHealth;N100003;7601000000003;+41790000003;;;Rue des Soins 3;2000;Neuchatel;Suisse;1;1;1
nurse04@cohealth.test;ROLE_NURSE;password;Sarah;Richard;CoHealth;N100004;7601000000004;+41790000004;;;Rue des Soins 4;1700;Fribourg;Suisse;1;1;1
nurse05@cohealth.test;ROLE_NURSE;password;Laura;Durand;CoHealth;N100005;7601000000005;+41790000005;;;Rue des Soins 5;1950;Sion;Suisse;1;1;1
nurse06@cohealth.test;ROLE_NURSE;password;Nicolas;Moreau;CoHealth;N100006;7601000000006;+41790000006;;;Rue des Soins 6;2800;Delemont;Suisse;1;1;1
nurse07@cohealth.test;ROLE_NURSE;password;Thomas;Simon;CoHealth;N100007;7601000000007;+41790000007;;;Rue des Soins 7;6900;Lugano;Suisse;1;1;1
nurse08@cohealth.test;ROLE_NURSE;password;Camille;Laurent;CoHealth;N100008;7601000000008;+41790000008;;;Rue des Soins 8;3000;Berne;Suisse;1;1;1
nurse09@cohealth.test;ROLE_NURSE;password;Mathieu;Lefevre;CoHealth;N100009;7601000000009;+41790000009;;;Rue des Soins 9;4001;Bale;Suisse;1;1;1
nurse10@cohealth.test;ROLE_NURSE;password;Chloe;Garcia;CoHealth;N100010;7601000000010;+41790000010;;;Rue des Soins 10;8001;Zurich;Suisse;1;1;1
